method,class,threshold,accuracy,accuracy_occluded,fidelity
GradCAM-avg,1,0.6000000000000001,0.9529180971064247,0.7278077488965179,0.22511034820990683
GradCAM-avg,1,0.7000000000000001,0.9529180971064247,0.7743992153016185,0.17851888180480624
GradCAM-avg,1,0.8,0.9529180971064247,0.8111819519372241,0.14173614516920063
GradCAM-avg,1,0.9,0.9529180971064247,0.8523786169691026,0.10053948013732217
Gradient,0,0.0,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,0,0.1,0.9529180971064247,0.7665522314860226,0.18636586562040214
Gradient,0,0.2,0.9529180971064247,0.77145659637077,0.1814615007356547
Gradient,0,0.30000000000000004,0.9529180971064247,0.7724374693477195,0.18048062775870521
Gradient,0,0.4,0.9529180971064247,0.773418342324669,0.17949975478175573
Gradient,0,0.5,0.9529180971064247,0.7920549288867091,0.16086316821971558
Gradient,0,0.6000000000000001,0.9529180971064247,0.815105443845022,0.13781265326140268
Gradient,0,0.7000000000000001,0.9529180971064247,0.8513977439921531,0.10152035311427166
Gradient,0,0.8,0.9529180971064247,0.8729769494850417,0.07994114762138305
Gradient,0,0.9,0.9529180971064247,0.9014222658165768,0.051495831289847915
Gradient,1,0.0,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,1,0.1,0.9529180971064247,0.7729279058361942,0.17999019127023053
Gradient,1,0.2,0.9529180971064247,0.7994114762138304,0.15350662089259437
Gradient,1,0.30000000000000004,0.9529180971064247,0.8106915154487494,0.14222658165767532
Gradient,1,0.4,0.9529180971064247,0.8092202059833251,0.1436978911230996
Gradient,1,0.5,0.9529180971064247,0.8195193722412948,0.13339872486512994
Gradient,1,0.6000000000000001,0.9529180971064247,0.8249141736145169,0.1280039234919078
Gradient,1,0.7000000000000001,0.9529180971064247,0.8357037763609613,0.11721432074546345
Gradient,1,0.8,0.9529180971064247,0.8636586562040216,0.08925944090240312
Gradient,1,0.9,0.9529180971064247,0.8901422265816576,0.06277587052476707
cEB,0,0.0,0.9529180971064247,0.7709661598822952,0.1819519372241295
cEB,0,0.1,0.9529180971064247,0.8715056400196175,0.08141245708680722
cEB,0,0.2,0.9529180971064247,0.8945561549779304,0.058361942128494326
cEB,0,0.30000000000000004,0.9529180971064247,0.9112309955860716,0.041687101520353154
cEB,0,0.4,0.9529180971064247,0.9239823442864149,0.02893575282000982
cEB,0,0.5,0.9529180971064247,0.9308484551250613,0.022069641981363408
cEB,0,0.6000000000000001,0.9529180971064247,0.9323197645904855,0.020598332515939233
cEB,0,0.7000000000000001,0.9529180971064247,0.9367336929867582,0.016184404119666485
cEB,0,0.8,0.9529180971064247,0.9377145659637077,0.015203531142716997
cEB,0,0.9,0.9529180971064247,0.9411476213830309,0.011770475723393847
cEB,1,0.0,0.9529180971064247,0.7685139774399216,0.18440411966650316
cEB,1,0.1,0.9529180971064247,0.7680235409514468,0.18489455615497796
cEB,1,0.2,0.9529180971064247,0.8087297694948504,0.1441883276115743
cEB,1,0.30000000000000004,0.9529180971064247,0.8386463952918097,0.11427170181461499
cEB,1,0.4,0.9529180971064247,0.8582638548307994,0.09465424227562536
cEB,1,0.5,0.9529180971064247,0.872486512996567,0.08043158410985773
cEB,1,0.6000000000000001,0.9529180971064247,0.8803334968121628,0.07258460029426195
cEB,1,0.7000000000000001,0.9529180971064247,0.8911230995586071,0.06179499754781759
cEB,1,0.8,0.9529180971064247,0.8945561549779304,0.058361942128494326
cEB,1,0.9,0.9529180971064247,0.8960274644433546,0.05689063266307015
